user_id,app_sessions_per_day,sms_fin_alerts_monthly,utility_delay_days,ecommerce_spend_ratio,location_stability_score,device_age_months,default_label
1000,12,15,0,0.598645836866266,0.8061937021517651,25,0
1001,6,15,1,0.27587612044988263,0.777513963611718,32,0
1002,11,13,1,0.423715408978893,0.7500643167845261,8,0
1003,14,14,9,0.4786667776829509,0.8894240871319931,42,1
1004,7,16,0,0.2256208257567266,0.8742402067844197,45,0
1005,8,15,0,0.27430501653217115,1.0,12,0
1006,9,14,0,0.5815003598343512,0.8610564298389254,21,0
1007,11,11,1,0.019374610275964852,0.7501585678192537,45,0
1008,8,18,2,0.20117739237654858,0.7095348690889811,27,1
1009,10,12,1,0.29172777740320194,0.8952945260711617,30,0
1010,7,9,0,0.0008789958415141407,0.718501311568989,10,0
1011,11,9,1,0.539476260603967,0.8809736686522072,21,0
1012,11,15,1,0.1717466401272952,0.7240086006107387,1,0
1013,8,12,0,0.15462289926566655,0.8349158383787281,9,0
1014,12,19,1,0.4921957172122451,0.6940248785133638,3,0
1015,6,8,1,0.1667899371014852,0.8779885354332082,42,0
1016,7,16,8,0.39457355634121344,0.6766328344490751,19,0
1017,8,13,3,0.4929018863411755,0.8272957329506703,6,1
1018,10,16,2,0.4754861086262234,0.7802160065772988,7,0
1019,5,15,4,0.46917044245555733,0.810180643722626,43,1
1020,3,16,2,0.05318254191914091,0.7604196165838366,16,0
1021,9,17,4,0.04790818054341852,0.7580740052629009,36,0
1022,13,13,0,0.18406202144243247,0.8154781204009772,4,0
1023,8,19,1,0.021568728717610664,0.6997861621910149,18,0
1024,6,14,2,0.30025784191155863,0.6991977938333324,32,0
1025,13,14,1,0.23686923976213095,0.7641450500361588,32,0
1026,12,9,0,0.3342155475258895,0.7602529860280993,18,0
1027,13,19,0,0.17927312320181427,0.6994603536195626,39,0
1028,9,12,0,0.2914524017942562,0.8924214692914665,43,0
1029,14,12,0,0.20084685951543227,0.7665526581568396,37,0
1030,8,10,0,0.11712485533398515,0.7773337797003889,28,0
1031,8,18,1,0.3896200086826889,0.6672471674030453,39,0
1032,12,13,3,0.40406154089951113,1.0,2,0
1033,15,16,2,0.49753901564985004,1.0,37,0
1034,13,18,3,0.5248510698922348,0.7219601421595652,37,1
1035,13,13,4,0.42267714262074924,0.9226086381169099,2,0
1036,10,11,1,0.41249885201850717,0.790818661626241,19,0
1037,8,9,0,0.0340053992018835,0.9603769592813107,5,0
1038,15,5,0,0.06586754487490291,0.8336233086400386,44,0
1039,9,18,5,0.487537626234524,0.8099762168767399,13,0
1040,7,17,0,0.13977075697417893,0.5500730460381419,22,0
1041,8,24,2,0.2133390361302498,0.7121394026573318,7,0
1042,13,11,0,0.08717841220552609,0.8020520669574943,2,0
1043,15,11,5,0.1170911811449514,0.8198666252703979,14,0
1044,8,18,1,0.4652503412221237,0.6785166286062616,25,0
1045,7,15,3,0.15711577170932295,0.7271228471323722,26,0
1046,9,14,0,0.2694209797585141,0.855344701725082,5,0
1047,6,18,0,0.09100282383554356,0.6616789270266643,20,0
1048,16,16,1,0.4067579437896592,0.813372972372354,12,0
1049,10,20,12,0.4369618404800857,0.9237953531489056,36,1
1050,18,12,1,0.2170153907392283,0.8385469629111821,31,0
1051,10,15,5,0.4708479876736503,0.8335486743165977,17,0
1052,8,16,3,0.14394399115327586,0.5979848550822237,16,0
1053,11,13,3,0.41514231726009365,0.7178087223582104,10,0
1054,3,13,1,0.43797874885227234,1.0,35,0
1055,15,15,0,0.5811944266732657,0.7400838082454069,33,0
1056,6,15,0,0.13939299911202976,0.9264476209547068,38,0
1057,7,16,6,0.05622628802565164,0.7389159110643717,35,0
1058,9,15,6,0.15782125337387196,0.7722179498490537,27,1
